fid,OBJECTID,Shape_Leng,Shape_Area,TRACTCE10,geoid10,commarea,ChldPvt14,EP_CROWD,EP_UNINSUR,EP_MINRTY,Ovr6514P,EP_AGE17,EP_DISABL,EP_NOHSDP,EP_LIMENG,EP_SNGPNT,Pov14,EP_PCI,Unemp14,EP_NOVEH,FORCLRISK,HealthLit,CarC14P,CAR,NOCAR,CTA14P,CTA,CmTm14,Undr514P,Wht14P,WHT50PCT,Wht,Blk14P,BLCK50PCT,Blk,Hisp14P,HISP50PCT,Hisp,Pop2014,PDENS14,MEANMI_07,MEANMI_11,MEANMI_14,FACHANGE,PCRIMERT15,VCRIMERT15,ForclRt,EP_MUNIT,EP_GROUPQ,SchHP_Mi,BrownF_Mi,lat,lon
1,1,22777.4777215,21190885.3222,842400,17031842400,44,30.2,2,18.6,100,20.4,19.3,21,19,0,12.1,19.7,20476,25,31.3,67.6,252.0929,44.5,0,1,43.5,0,42.4,5.7,0,0,0,100,1,1,0,0,0,3374,0.0159219,1.4066,1.3675,1.0502,0.3564,0.0752,0.0605,0,6,0,0.3239623,0.8250316,-87.6300378743522,41.7424734308219
2,2,16035.054986,8947393.93113,840300,17031840300,59,38.9,4.8,25.2,85.9,9.9,26.3,9.7,35,24,13.9,22.3,16643,13.5,14,9.1066667,239.0633,36.5,0,1,36.4,0,34.9,9,45.5,0,0,2.6,0,0,61.4,1,1,4147,0.0463487,0.4343,0.3362,0.3147,0.1196,0.0143,0.0114,0,2,0,2.913039,0.8335796,-87.6818793330232,41.8320929717602
3,3,15186.4006444,12306142.6822,841100,17031841100,34,40.4,4.9,32.1,95.6,18.3,19.9,9.2,34.7,47,8.8,34.6,15725,12.4,38,3.62,245.97,33.8,0,1,16,0,24.5,5.2,4.7,0,0,4,0,0,0.5,0,0,7622,0.0619365,1.3221,1.2829,0.4284,0.8937,0.0583,0.0476,0,42,0.1,1.5349868,0.2458748,-87.6350949156889,41.8510043922963
4,4,10472.2303013,6731931.2075,841200,17031841200,31,39.5,13.2,30.9,91.5,4.5,32.6,9.4,41.8,28,22.6,28.2,12505,13.6,27.1,7.18,247.3967,45.7,0,1,30,0,28.7,7.4,51,1,1,5,0,0,86.6,1,1,5685,0.0844483,0.2873,0.2873,0.222,0.0653,0.0202,0.0334,0,1,0.1,1.6521882,0.5316823,-87.6833389471183,41.8555605249894
5,5,14719.4433074,12460159.3577,838200,17031838200,28,7,0,13.9,59.9,4.7,19.9,5.7,7.8,0,7.1,2.8,15450,9.7,24.6,9.45,260.825,30.8,0,1,24.9,0,17.6,1.4,54.6,1,1,24,0,0,18.8,0,0,1866,0.0149757,1.3909,1.3909,0.9741,0.4168,0.041,0.0361,0,4,48.2,0.7141818,0.7872895,-87.6750762782025,41.8704144151649
6,6,13299.9123735,10608487.1886,650301,17031650301,65,18.3,8.6,21.9,83.3,7.3,33.4,7.4,24.7,14,16.4,10.9,19419,11.7,4.1,57.69,237.66,67.4,1,0,12.9,0,33.2,6.3,51.1,1,1,0,0,0,81.2,1,1,5744,0.0541453,1.4087,1.1812,1.0111,0.3976,0.0157,0.0122,0,0,0.1,2.8424523,2.6886879,-87.729989032304,41.7749261728468
7,7,19495.5495359,17631568.488,530503,17031530503,53,54.9,1.7,13.2,100,16.2,23.2,19.4,18.4,0,17.4,26.5,16866,23.8,20.1,94.25,257.1633,63,1,0,20.4,0,42.3,2.7,1.3,0,0,97.7,1,1,1.5,0,0,5147,0.029192,1.4143,1.5156,1.5156,-0.1013,0.0321,0.0334,0,0,0,2.1260374,1.1647434,-87.6373000592977,41.6637642965417
8,8,17734.076322,8184308.93755,760803,17031760803,76,42.2,9.3,21.6,32.7,11.8,24.3,6.4,14.8,16,3.3,18.5,20872,8.8,10.2,4.73,248.315,79.4,1,0,8.6,0,31.2,10.5,77.7,1,1,0.8,0,0,16.7,0,0,7343,0.0897205,0.7764,0.7507,0.7507,0.0257,0.0054,0.0071,0,32,0.2,1.4154008,1.8402508,-87.8441560069199,41.9753484893193
9,9,39870.3697291,57013406.3713,540102,17031540102,54,59.5,6.3,13.2,97.7,7.3,39,15.4,29.2,0,40.6,54.5,8213,37.7,46.3,47.51,245.7,39.3,0,1,35.7,0,48.6,14.7,2.3,0,0,94.9,1,1,2.6,0,0,3268,0.005732,2.0824,3.4383,3.1174,-1.035,0.0321,0.0707,0,28,0,2.2166955,1.5296186,-87.605411205568,41.6673572491766
10,10,34175.1069807,41617739.3586,540101,17031540101,54,76.2,9.6,22.8,100,2.7,48.7,7.5,23.9,0,53.9,68.5,6865,43,50.6,47.51,242.8125,46.6,0,1,32.6,0,41,10.4,1.8,0,0,97.7,1,1,2.4,0,0,3922,0.0094239,1.8272,3.2777,2.9747,-1.1475,0.0321,0.0711,0,8,1.2,2.7430563,1.3581803,-87.5994977926429,41.6501874155038
