fid,ID,AREA,BLOCK,BG,TRACT,COUNTY,MSA,POPULATION,MALE,FEMALE,AGE_0_5,AGE_5_9,AGE_10_14,AGE_15_19,AGE_20_24,AGE_25_34,AGE_35_44,AGE_45_54,AGE_55_59,AGE_60_64,AGE_65_74,AGE_75_84,AGE_85,MEDIAN_AGE,AGE_18,MALE_18,FEMALE_18,AGE_21,AGE_62,AGE_65,MALE_65,FEMALE_65,F1_RACE,WHITE,BLACK,AMINDIAN,ASIAN,HAWAIIAN,OTHER_RACE,F2_RACES,AP_WHITE,AP_BLACK,AP_AMINDIA,AP_ASIAN,AP_HAWAIIA,AP_OTHER,AP_HISPANI,NOT_HISPAN,NH_WHITE,IN_HOUSEHO,GROUP_QUAR,GQ_INSTITU,GQ_NONINST,HOUSEHOLDS,HH_FAMILY,HH_NONFAMI,AVG_HHSIZE,AVG_FAMSIZ,HSNG_UNITS,HU_OCCUPIE,HU_VACANT,OCCHU_OWNE,OCCHU_RENT,OWNER_SIZE,RENTER_SIZ,DENSITY,BURGLARY,ASSAULT,THEFT,BURG_D,ASSALT_D,THEFT_D,lon,lat
"1",726907,0.09,"390610042002001","390610042002","39061004200","39061","1640",479,221,258,6,6,3,9,32,60,53,64,34,38,90,62,22,55.7,459,213,246,453,197,174,74,100,472,433,32,0,5,0,2,7,439,35,3,6,0,4,5,474,430,479,0,0,0,330,105,225,1.45,2.14,361,330,31,245,85,1.46,1.42,5384.7901,"1","0","4",1,0,1,-84.4740361297013,39.123860944397
"2",695744,0.01,"390610022004003","390610022004","39061002200","39061","1640",85,39,46,5,4,8,12,6,13,15,9,2,4,4,3,0,30.8,61,27,34,54,10,7,5,2,82,16,66,0,0,0,0,3,17,68,0,3,0,0,0,85,16,85,0,0,0,35,15,20,2.43,3.73,35,35,0,9,26,3.22,2.15,6643.1423,"0","2","2",0,1,1,-84.5068413095493,39.1260016822027
"3",695762,0.01,"390610033002017","390610033002","39061003300","39061","1640",29,18,11,0,0,0,0,13,6,7,2,0,0,0,1,0,26.5,29,18,11,29,1,1,0,1,29,15,12,0,1,0,1,0,15,12,0,1,0,1,1,28,15,29,0,0,0,22,3,19,1.32,2,24,22,2,1,21,1,1.33,4326.5018,"0","0","0",0,0,0,-84.5073457647886,39.1281850471496
"4",695780,0.01,"390610022004002","390610022004","39061002200","39061","1640",117,59,58,9,10,11,17,12,19,22,7,4,4,1,1,0,24.8,78,43,35,70,6,2,1,1,117,12,103,0,0,0,2,0,12,103,0,0,0,2,2,115,12,117,0,0,0,51,27,24,2.29,3,60,51,9,7,44,2.57,2.25,20784.6991,"2","3","4",1,1,1,-84.5051166857508,39.1257740329523
"5",695798,0.02,"390610033001009","390610033001","39061003300","39061","1640",96,51,45,1,2,2,5,28,44,8,5,1,0,0,0,0,26.8,90,50,40,84,0,0,0,0,92,52,39,0,1,0,0,4,53,42,0,1,0,4,1,95,52,96,0,0,0,68,12,56,1.41,2.67,69,68,1,1,67,1,1.42,4019.0506,"0","0","2",0,0,1,-84.5055837492076,39.1272432395117
"6",695823,0.01,"390610033002013","390610033002","39061003300","39061","1640",45,30,15,0,3,1,2,14,11,5,0,1,3,3,2,0,26.8,41,28,13,38,7,5,3,2,45,25,18,0,2,0,0,0,25,18,0,2,0,0,1,44,25,45,0,0,0,24,7,17,1.88,2.29,25,24,1,3,21,3.67,1.62,5913.7961,"0","9","6",0,1,1,-84.5085816786305,39.1293960707373
"7",695843,0,"390610033002009","390610033002","39061003300","39061","1640",81,39,42,3,5,9,14,29,8,6,5,0,0,2,0,0,20.8,61,29,32,38,2,2,2,0,81,24,52,0,4,0,1,0,24,52,0,4,0,1,0,81,24,81,0,0,0,35,8,27,2.31,4,46,35,11,6,29,1.33,2.52,21764.4799,"3","1","7",1,1,1,-84.5080877770419,39.1306336305968
"8",695860,0,"390610033002012","390610033002","39061003300","39061","1640",32,21,11,1,0,0,2,19,4,2,3,0,0,1,0,0,23.7,31,21,10,27,1,1,0,1,31,23,4,2,2,0,0,1,24,4,3,2,0,0,1,31,22,32,0,0,0,15,2,13,2.13,3.5,17,15,2,2,13,2.5,2.08,9932.4581,"2","1","1",1,1,1,-84.5074475988124,39.1293358606279
"9",695878,0,"390610033002011","390610033002","39061003300","39061","1640",41,27,14,0,0,0,7,11,9,9,1,3,0,1,0,0,27.2,41,27,14,31,1,1,0,1,39,37,2,0,0,0,0,2,38,2,0,2,0,1,2,39,36,41,0,0,0,20,1,19,2.05,2,25,20,5,10,10,1.4,2.7,10157.3434,"0","0","1",0,0,1,-84.506643000767,39.1293099990991
"10",695895,0.01,"390610033002010","390610033002","39061003300","39061","1640",89,33,56,5,2,7,12,26,12,8,5,1,1,5,4,1,22.6,72,29,43,58,11,10,1,9,83,32,49,1,1,0,0,6,36,52,4,1,0,2,0,89,32,89,0,0,0,29,16,13,3.07,3,30,29,1,11,18,2.18,3.61,11417.4899,"0","1","0",0,1,0,-84.5068867852932,39.1305836731038
"11",695916,0,"390610033002002","390610033002","39061003300","39061","1640",42,30,12,1,0,1,4,21,5,5,2,0,1,2,0,0,23,40,29,11,31,3,2,1,1,41,19,20,2,0,0,0,1,19,20,2,1,0,1,0,42,19,42,0,0,0,19,6,13,2.21,2.5,25,19,6,2,17,3,2.12,10037.174,"1","0","2",1,0,1,-84.5079963931994,39.1319092615141
"12",695934,0,"390610033002001","390610033002","39061003300","39061","1640",68,45,23,1,4,2,7,36,12,4,2,0,0,0,0,0,22.4,59,41,18,46,0,0,0,0,65,40,19,0,3,0,3,3,41,20,0,5,0,6,3,65,40,68,0,0,0,30,6,24,2.27,2.83,37,30,7,2,28,1.5,2.32,19128.3583,"2","0","1",1,0,1,-84.5071430015285,39.1318599988884
"13",695951,0,"390610032002009","390610032002","39061003200","39061","1640",99,61,38,3,3,9,8,46,5,11,7,0,1,3,3,0,22.7,80,52,28,63,7,6,0,6,99,49,48,1,0,0,1,0,49,48,1,0,0,1,1,98,49,99,0,0,0,34,14,20,2.91,3.14,42,34,8,12,22,1.67,3.59,24640.7769,"1","0","4",1,0,1,-84.5069978396825,39.1331363425386
"14",695969,0.02,"390610033001008","390610033001","39061003300","39061","1640",184,104,80,8,9,15,15,37,39,22,24,2,3,7,3,0,26.8,147,86,61,127,11,10,5,5,177,83,81,1,2,0,10,7,86,86,4,4,0,12,2,182,82,179,5,0,5,78,33,45,2.29,3.06,96,78,18,23,55,2.74,2.11,8786.3934,"3","1","5",1,1,1,-84.5053124117694,39.1293615815412
"15",695990,0,"390610033002000","390610033002","39061003300","39061","1640",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0","1","0",0,1,0,-84.5063102851346,39.1318300606101
"16",696008,0,"390610032002010","390610032002","39061003200","39061","1640",62,38,24,3,3,2,3,30,5,3,9,0,0,2,2,0,23.6,52,30,22,49,4,4,3,1,62,33,26,0,2,0,1,0,33,26,0,2,0,1,0,62,33,62,0,0,0,27,9,18,2.3,3.22,31,27,4,7,20,1.86,2.45,17261.0752,"1","0","1",1,0,1,-84.5062122447945,39.1330861155311
"17",696027,0,"390610033001004","390610033001","39061003300","39061","1640",40,16,24,1,3,7,3,5,7,4,3,1,0,2,4,0,27.5,27,9,18,26,6,6,2,4,39,3,34,0,2,0,0,1,4,34,1,2,0,0,2,38,2,40,0,0,0,16,11,5,2.5,2.82,19,16,3,8,8,3,2,16243.4072,"0","0","0",0,0,0,-84.5055424994826,39.1313286717305
"18",696046,0,"390610033001003","390610033001","39061003300","39061","1640",23,10,13,0,0,0,1,11,11,0,0,0,0,0,0,0,23.5,23,10,13,19,0,0,0,0,23,16,6,0,0,0,1,0,16,6,0,0,0,1,1,22,16,23,0,0,0,15,4,11,1.53,2,19,15,4,1,14,3,1.43,11091.2573,"0","0","0",0,0,0,-84.5054430002741,39.1320600000004
