bathrooms,sqft_living,sqft_lot,grade,condition,waterfront,view,age,lon,lat
0.9115,0.897,0.8435,0.9575,0.5185,0.7905,0.9795,0.571,0.903,0.985
0.9975,1.0,0.981,1.0,0.867,0.9115,1.0,0.9825,0.971,1.0
0.995,0.9995,0.98,1.0,0.913,0.876,0.6275,0.972,0.965,0.9995
0.983,0.9855,0.698,0.9995,0.488,0.9165,0.996,0.596,0.9675,0.9975
0.9985,1.0,0.94,1.0,0.7225,0.9545,0.9995,0.996,0.96,1.0
0.9865,0.997,0.714,0.9585,0.72,0.94,0.9925,0.8235,0.9455,0.9995
0.9965,1.0,0.993,1.0,0.9715,0.9745,0.995,0.9995,0.9985,1.0
0.9885,0.9975,0.978,1.0,0.152,0.9795,0.996,0.968,0.7,0.9975
0.999,0.98,0.974,1.0,0.672,0.925,0.9875,0.8875,0.9415,1.0
0.991,0.971,0.8685,1.0,0.9165,0.9155,0.9975,0.9775,0.942,0.9985
0.2255,0.302,0.1875,0.9615,0.246,0.0095,0.078,0.467,0.6445,0.769
1.0,1.0,0.9925,1.0,0.894,0.9345,0.9905,0.9995,0.651,1.0
0.9745,0.9945,0.4045,0.9975,0.7665,0.955,0.982,0.9665,0.8955,1.0
1.0,1.0,0.989,1.0,0.952,0.9365,0.9995,0.9925,0.968,1.0
0.8355,1.0,0.3825,1.0,0.409,0.9535,0.9965,0.815,0.986,0.998
0.971,0.993,0.993,0.986,0.806,0.9235,0.985,0.9975,0.873,1.0
1.0,1.0,0.955,1.0,0.625,0.9505,1.0,0.9755,1.0,0.9995
0.997,1.0,0.984,1.0,0.4645,0.9175,0.997,0.999,0.999,1.0
0.992,0.9995,0.9805,1.0,0.825,0.922,0.989,0.999,0.9995,1.0
0.994,1.0,0.6265,1.0,0.4985,0.9595,0.9995,0.772,0.9,0.997
0.991,1.0,0.9745,1.0,0.9585,0.903,0.9975,0.668,0.9985,0.9995
0.9535,0.893,0.8475,0.784,0.6315,0.7495,0.9635,0.695,0.132,0.3825
0.9975,0.9995,0.9295,0.998,0.9535,0.932,0.996,0.9995,0.972,0.998
0.992,1.0,0.9545,1.0,0.754,0.9635,0.9905,0.9425,0.951,1.0
1.0,0.9995,0.953,1.0,0.956,0.8685,0.9975,0.9865,0.9585,0.9875
1.0,1.0,0.983,1.0,0.8205,0.8805,0.992,0.99,0.957,1.0
0.997,1.0,0.856,1.0,0.448,0.945,0.991,0.7725,0.927,0.999
0.981,0.9985,0.9895,1.0,0.4445,0.909,0.9895,0.945,0.947,1.0
0.9625,0.962,0.932,1.0,0.8765,0.895,0.981,0.972,0.9975,0.9945
0.999,0.9995,0.9985,1.0,0.77,0.9435,0.995,0.986,1.0,1.0
0.9985,1.0,0.9945,1.0,0.906,0.9635,0.9995,0.999,0.992,1.0
0.976,1.0,0.9925,1.0,0.822,0.9485,0.995,0.976,0.896,1.0
0.9905,0.9975,0.945,0.954,0.6615,0.8885,0.996,0.8875,0.9505,0.9995
0.9985,0.928,0.836,1.0,0.837,0.911,0.997,0.885,0.9765,1.0
0.9885,0.9805,0.6175,1.0,0.8555,0.9335,0.9955,0.835,0.9925,0.9565
0.979,0.9955,0.952,1.0,0.727,0.906,0.996,0.999,0.9855,0.959
0.9995,1.0,0.999,1.0,0.7945,0.9515,0.9955,0.987,0.973,1.0
