fid,primaryindex,TOP2,TOP3,TOP4,NXTOP2,NXTOP3,NXTOP4,N2XTOP2,N2XTOP3,N2XTOP4,LONGITUDE,LATITUDE,OBS,YIELD,N,N2,TOPO,BV,BV2,NXBV,BVXT2,BVXT3,BVXT4,BV2XT2,BV2XT3,BV2XT4,SAT,SAT2,NXSAT,SATXT2,SATXT3,SATXT4,SAT2XT2,SAT2XT3,SAT2XT4
"1","1","0","0","1","0","0","132","0","0","17292",-63.84886365,-33.05113499,"1",72.14,131.5,17292.25,"4",162.6,26438.76,21381.9,0,0,162.6,0,0,26438.76,2.21,4.88,290.62,0,0,2.21,0,0,4.88
"2","2","0","0","1","0","0","132","0","0","17292",-63.8487928,-33.05114709,"2",73.79,131.5,17292.25,"4",170.49,29066.8401,22419.435,0,0,170.49,0,0,29066.84,2.21,4.88,290.62,0,0,2.21,0,0,4.88
"3","3","0","0","1","0","0","132","0","0","17292",-63.84872194,-33.05115919,"3",77.25,131.5,17292.25,"4",168.39,28355.1921,22143.285,0,0,168.39,0,0,28355.192,2.24,5.02,294.56,0,0,2.24,0,0,5.02
"4","4","0","0","1","0","0","132","0","0","17292",-63.84865109,-33.05117129,"4",76.35,131.5,17292.25,"4",176.68,31215.8224,23233.42,0,0,176.68,0,0,31215.822,2.24,5.02,294.56,0,0,2.24,0,0,5.02
"5","5","0","0","1","0","0","132","0","0","17292",-63.84858024,-33.05118339,"5",75.55,131.5,17292.25,"4",171.46,29398.5316,22546.99,0,0,171.46,0,0,29398.532,2.24,5.02,294.56,0,0,2.24,0,0,5.02
"6","6","0","0","1","0","0","132","0","0","17292",-63.84850939,-33.05119549,"6",70.24,131.5,17292.25,"4",170.56,29090.7136,22428.64,0,0,170.56,0,0,29090.714,2.24,5.02,294.56,0,0,2.24,0,0,5.02
"7","7","0","0","1","0","0","132","0","0","17292",-63.84843854,-33.05120758,"7",76.17,131.5,17292.25,"4",172.94,29908.2436,22741.61,0,0,172.94,0,0,29908.244,2.19,4.8,287.99,0,0,2.19,0,0,4.8
"8","8","0","0","1","0","0","132","0","0","17292",-63.84836769,-33.05121968,"8",69.17,131.5,17292.25,"4",171.86,29535.8596,22599.59,0,0,171.86,0,0,29535.86,2.15,4.62,282.72,0,0,2.15,0,0,4.62
"9","9","0","0","1","0","0","132","0","0","17292",-63.84829683,-33.05123178,"9",69.77,131.5,17292.25,"4",171.88,29542.7344,22602.22,0,0,171.88,0,0,29542.734,2.15,4.62,282.72,0,0,2.15,0,0,4.62
"10","10","0","0","1","0","0","132","0","0","17292",-63.84822598,-33.05124388,"10",69.75,131.5,17292.25,"4",173.18,29991.3124,22773.17,0,0,173.18,0,0,29991.312,2.15,4.62,282.72,0,0,2.15,0,0,4.62
"11","11","0","0","1","0","0","132","0","0","17292",-63.84815513,-33.05125598,"11",71.05,131.5,17292.25,"4",173.02,29935.9204,22752.13,0,0,173.02,0,0,29935.92,2.15,4.62,282.72,0,0,2.15,0,0,4.62
"12","12","0","0","1","0","0","132","0","0","17292",-63.84808428,-33.05126808,"12",71.91,131.5,17292.25,"4",176.74,31237.0276,23241.31,0,0,176.74,0,0,31237.028,2.13,4.54,280.09,0,0,2.13,0,0,4.54
