fid,primaryindex,ID,TOP3,TOP2,TOP4,NXTOP2,NXTOP3,NXTOP4,N2XTOP2,N2XTOP3,N2XTOP4,LONGITUDE,LATITUDE,YIELD,TOPO,OBS,N,N2,BV,BV2,NXBV,BVXT2,BVXT3,BVXT4,BV2XT2,BV2XT3,BV2XT4
"1","1","2422","0","0","1",0,0,124.6,0,0,15525.16,-63.84856584,-33.04995263,93.14,"4","1",124.6,15525.16,174.53,30460.721,21746.438,0,0,174.53,0,0,30460.72
"2","2","2423","0","0","1",0,0,124.6,0,0,15525.16,-63.84849557,-33.0499771,94.98,"4","2",124.6,15525.16,173.25,30015.563,21586.95,0,0,173.25,0,0,30015.56
"3","3","2424","0","0","1",0,0,124.6,0,0,15525.16,-63.8484253,-33.05000157,94.81,"4","3",124.6,15525.16,175.09,30656.508,21816.214,0,0,175.09,0,0,30656.51
"4","4","2425","0","0","1",0,0,124.6,0,0,15525.16,-63.84835503,-33.05002604,97.95,"4","4",124.6,15525.16,174.08,30303.846,21690.368,0,0,174.08,0,0,30303.85
"5","5","2426","0","0","1",0,0,124.6,0,0,15525.16,-63.84828476,-33.05005051,95.74,"4","5",124.6,15525.16,170.89,29203.392,21292.894,0,0,170.89,0,0,29203.39
"6","6","2427","0","0","1",0,0,124.6,0,0,15525.16,-63.84821449,-33.05007498,104.31,"4","6",124.6,15525.16,173.53,30112.661,21621.838,0,0,173.53,0,0,30112.66
"7","7","2428","0","0","1",0,0,124.6,0,0,15525.16,-63.84814421,-33.05009944,100.69,"4","7",124.6,15525.16,175.75,30888.063,21898.45,0,0,175.75,0,0,30888.06
"8","8","2429","0","0","1",0,0,124.6,0,0,15525.16,-63.84807394,-33.05012391,96.33,"4","8",124.6,15525.16,176.35,31099.322,21973.21,0,0,176.35,0,0,31099.32
"9","9","2430","0","0","1",0,0,124.6,0,0,15525.16,-63.84800367,-33.05014838,100.44,"4","9",124.6,15525.16,179.49,32216.66,22364.454,0,0,179.49,0,0,32216.66
"10","10","2431","0","0","1",0,0,124.6,0,0,15525.16,-63.8479334,-33.05017285,91.47,"4","10",124.6,15525.16,179.65,32274.123,22384.39,0,0,179.65,0,0,32274.12
"11","11","2432","0","0","1",0,0,124.6,0,0,15525.16,-63.84786312,-33.05019732,87.74,"4","11",124.6,15525.16,178.87,31994.477,22287.202,0,0,178.87,0,0,31994.48
"12","12","2433","0","0","1",0,0,124.6,0,0,15525.16,-63.84779285,-33.05022178,83.71,"4","12",124.6,15525.16,180.66,32638.036,22510.236,0,0,180.66,0,0,32638.04
"13","13","2434","0","0","1",0,0,124.6,0,0,15525.16,-63.84772258,-33.05024625,82.7,"4","13",124.6,15525.16,180.27,32497.273,22461.642,0,0,180.27,0,0,32497.27
"14","14","2435","0","0","1",0,0,124.6,0,0,15525.16,-63.84765231,-33.05027072,68.56,"4","14",124.6,15525.16,178.78,31962.288,22275.988,0,0,178.78,0,0,31962.29
"15","15","2436","0","0","1",0,0,124.6,0,0,15525.16,-63.84758204,-33.05029519,60.63,"4","15",124.6,15525.16,180.58,32609.136,22500.268,0,0,180.58,0,0,32609.14
"16","16","2437","0","0","1",0,0,124.6,0,0,15525.16,-63.84751176,-33.05031966,58.71,"4","16",124.6,15525.16,177.93,31659.085,22170.078,0,0,177.93,0,0,31659.08
