,coverage_probability,R2,RMSE,SHAP_Var,Pred_SHAP_Var
bathrooms,0.9266666666666666,0.4085430408932954,1.6283961071499704,4.483291372183838,1.3325604651508767
sqft_living,0.9333333333333333,0.9242735983659847,2.6215568108200222,90.75513908044688,80.60124239747756
sqft_lot,0.8833333333333333,0.8092712374039513,1.984379287302364,20.64586957036242,18.451327674310484
grade,0.97,0.9778193552931412,1.5468609726098554,107.8768854650832,97.50669430907737
condition,0.9033333333333333,0.8394727416049159,0.6626808002085441,2.7356465646739325,2.8092711745490075
waterfront,0.95,0.9369181488451858,1.243138155611621,24.498210589045513,20.85180337718352
view,0.8566666666666667,0.8698961575609264,1.960238187986609,29.534360258732928,15.836212789024545
age,0.8666666666666667,0.5915654641299901,2.035646822079159,10.145709092435371,8.202280263590266
lon,0.9133333333333333,0.6494445280183568,2.4882299837636124,17.661365880560187,13.205583989776303
lat,0.9833333333333333,0.9729679245251434,2.565771474020074,243.5322904827771,232.33757342923965
