,coverage_probability,R2,RMSE,SHAP_Var,Pred_SHAP_Var
PST045214,0.8778135048231511,0.8885330600813887,0.013790266259701851,0.0017060793420212916,0.00191300172692825
AGE135214,0.909967845659164,0.6143921809062798,0.00507449810452117,6.67790686229067e-05,4.2266667044512404e-05
AGE295214,0.9710610932475884,0.8922638083411462,0.013021769981336494,0.0015739046539139585,0.001637476151156289
AGE775214,0.9196141479099679,0.6126390868779135,0.007808063825971559,0.00015738774524013654,8.292106077353059e-05
SEX255214,0.9131832797427653,0.6548419298679853,0.008519810283434492,0.000210301231658739,0.00016958192264898724
RHI125214,0.8810289389067524,0.9721462287376017,0.011902820951007574,0.0050864619105637715,0.004559860622365628
RHI225214,0.8778135048231511,0.8617436000426674,0.007907687356922256,0.00045228661641794505,0.00033386100097431803
RHI425214,0.8938906752411575,0.6151825349962949,0.008824562064977537,0.0002023632052092304,0.0001629611751794566
RHI525214,0.9003215434083601,0.4826666931346597,0.0037236485911003197,2.6801983645743772e-05,1.8914023957730316e-05
RHI725214,0.9228295819935691,0.9129617969721316,0.009380720596738489,0.0010110263752331609,0.0010798116719108403
POP645213,0.9292604501607717,0.9009943194649311,0.006889621255340311,0.00047943593524639943,0.0005017100327579522
POP815213,0.8971061093247589,0.9118714888983829,0.008032376395843165,0.0007321021285620536,0.0007178589724346129
EDU635213,0.8745980707395499,0.8999857304081407,0.007720256431078204,0.0005959385556164249,0.000625255997910263
EDU685213,0.8938906752411575,0.883507166440609,0.009698636122017955,0.000807462053700973,0.0007331336231825859
VET605213,0.8971061093247589,0.63095864851977,0.006808326174350744,0.00012560463782832382,7.743915280459132e-05
LFE305213,0.864951768488746,0.32728806369299945,0.006063548689641811,5.465433379032242e-05,2.9712164046961907e-05
INC110213,0.9003215434083601,0.4569860127279365,0.006103038196190559,6.85932150869241e-05,3.340112288088596e-05
PVY020213,0.8906752411575563,0.4581075520828938,0.008161161150776305,0.00012291101598656896,9.847254950331514e-05
SBO001207,0.9035369774919614,0.7019646084553423,0.006637306254003517,0.00014781410382542828,8.155955067714079e-05
RTN131207,0.8745980707395499,-0.042701750800173466,0.006372554639120687,3.8946374260343124e-05,8.196838890296495e-06
