,noise_level,mse,rmse,r2,X1_cover_mean,X2_cover_mean
0,1,0.00021915589158009912,0.014803914738341988,0.9999837089041397,1.0,1.0
1,5,0.005478897289500943,0.07401957369169956,0.9995927226034931,1.0,1.0
2,10,0.02191558915800297,0.14803914738339644,0.9983708904139722,1.0,1.0
3,20,0.08766235663201027,0.29607829476679015,0.9934835616558889,1.0,1.0
4,30,0.19724030242202195,0.4441174421501839,0.98533801372575,1.0,1.0
5,40,0.35064942652803804,0.5921565895335777,0.9739342466235557,0.9988,1.0
6,50,0.5478897289500585,0.7401957369169715,0.9592722603493059,0.9836,1.0
7,60,0.7889612096880833,0.8882348843003652,0.9413520549030006,0.9572,1.0
8,70,1.0738638687421127,1.036274031683759,0.9201736302846396,0.9488,1.0
9,80,1.402597706112146,1.1843131790671528,0.8957369864942233,0.9252,1.0
10,90,1.7751627217981838,1.3323523264505466,0.8680421235317515,0.9032,1.0
11,100,2.1915589158002264,1.4803914738339405,0.8370890413972241,0.8792,1.0
12,150,4.931007560550505,2.2205872107509097,0.6334503431437544,0.7888,1.0
13,200,8.76623566320089,2.9607829476678784,0.34835616558889726,0.7156,1.0
