,noise_level,mse_X1,rmse_X1,r2_X1,mse_X2,rmse_X2,r2_X2,X1_cover_mean,X2_cover_mean
0,1,6.974780253650454e-30,2.6409809264079234e-15,1.0,6.943533890399224e-30,2.6350586123271003e-15,1.0,1.0,1.0
1,5,6.592493328599694e-30,2.5675851161353334e-15,1.0,6.560721825641646e-30,2.5613906038793938e-15,1.0,1.0,1.0
2,10,6.994355097456414e-30,2.644684309602266e-15,1.0,7.29861632794696e-30,2.701595145085022e-15,1.0,1.0,1.0
3,20,6.749275735726876e-30,2.5979368228898246e-15,1.0,6.785034569689693e-30,2.604809891276078e-15,1.0,1.0,1.0
4,40,6.969392580186827e-30,2.6399607156521906e-15,1.0,7.138741888442312e-30,2.6718424145975212e-15,1.0,1.0,1.0
5,50,6.57457016231404e-30,2.564092463682626e-15,1.0,6.938787479384705e-30,2.634157831145413e-15,1.0,1.0,1.0
6,60,6.664036849727417e-30,2.5814795853787838e-15,1.0,7.202139313313911e-30,2.6836801808922595e-15,1.0,1.0,1.0
7,70,6.628597273560364e-30,2.5746062366040297e-15,1.0,6.809325072223786e-30,2.6094683504928326e-15,1.0,1.0,1.0
8,80,6.986927478995693e-30,2.6432796823256695e-15,1.0,7.554699837081144e-30,2.7485814226762764e-15,1.0,1.0,1.0
9,90,7.41586813101929e-30,2.7232091603509434e-15,1.0,7.570143474489547e-30,2.751389371661079e-15,1.0,1.0,1.0
10,100,6.648096929061296e-30,2.578390375614464e-15,1.0,6.818563238165926e-30,2.611237874680498e-15,1.0,1.0,1.0
11,150,7.860390018516165e-30,2.803638710411198e-15,1.0,8.250879918552839e-30,2.872434493344076e-15,1.0,1.0,1.0
12,200,8.571050156126487e-30,2.9276355914161323e-15,1.0,8.519362083186503e-30,2.9187946284702017e-15,1.0,1.0,1.0
