,noise_level,mse_X1,rmse_X1,r2_X1,mse_X2,rmse_X2,r2_X2,X1_cover_mean,X2_cover_mean
0,1,0.00013798155754712811,0.011746555135320658,0.9999897430511006,7.026646624693661e-27,8.382509543504058e-14,1.0,1.0,1.0
1,5,0.003392837524022012,0.05824806884371371,0.999747791214082,1.3169051942336843e-24,1.147564897613065e-12,1.0,1.0,1.0
2,10,0.013205797759240107,0.1149164816692545,0.9990183384272439,4.452673595150371e-24,2.1101359186437186e-12,1.0,1.0,1.0
3,20,0.05183882563821833,0.22768141258833213,0.9961465271516643,1.1596033065341456e-23,3.4052948573275495e-12,1.0,1.0,1.0
4,30,0.1241373584829701,0.3523313191911416,0.9907721686498705,9.639657061338522e-24,3.1047797122080213e-12,1.0,1.0,1.0
5,40,0.21629790898637188,0.46507839015199565,0.9839213541362272,2.928196127997178e-23,5.411280927836937e-12,1.0,1.0,1.0
6,50,0.3304314775617721,0.5748316949871258,0.9754371610208508,8.83297790878913e-24,2.972032622430166e-12,1.0,0.9972,1.0
7,60,0.4758213276889519,0.6897980339845511,0.964629511870025,1.2719346225017074e-23,3.5664192441463013e-12,1.0,0.9616,1.0
8,70,0.6543283677122301,0.8089056605762072,0.9513600748506156,1.0434188094200586e-23,3.230199389232898e-12,1.0,0.9632,1.0
9,80,0.8489550961979588,0.921387592817463,0.9368923702962277,1.3320410212782297e-22,1.154140815186011e-11,1.0,0.9536,1.0
10,90,1.2051083409353984,1.0977742668396806,0.9104174870104733,4.373738322511729e-22,2.0913484459820962e-11,1.0,0.9252,1.0
11,100,1.3110206378538882,1.1449980951311178,0.9025444274753558,4.819813773425538e-22,2.1954074276601912e-11,1.0,0.8852,1.0
12,150,3.0133810964791263,1.735909299611914,0.7759983546307507,5.621415001019391e-22,2.3709523405204482e-11,1.0,0.758,1.0
13,200,5.517672247236114,2.3489725939729724,0.589840241769203,8.119886510271996e-23,9.01104128848159e-12,1.0,0.8184,1.0
