,noise_level,mse_X1,rmse_X1,r2_X1,mse_X2,rmse_X2,r2_X2,X1_cover_mean,X2_cover_mean
0,1,6.823196932926743e-30,2.6121249841703102e-15,1.0,6.959220978593365e-30,2.6380335438719054e-15,1.0,1.0,1.0
1,5,6.625667394854566e-30,2.5740371782191816e-15,1.0,7.233204331001578e-30,2.6894617177051577e-15,1.0,1.0,1.0
2,10,6.736240425565681e-30,2.59542682916812e-15,1.0,6.774367237339665e-30,2.6027614637802797e-15,1.0,1.0,1.0
3,20,6.416601074192323e-30,2.5331010785581223e-15,1.0,7.058832859489549e-30,2.6568464124765567e-15,1.0,1.0,1.0
4,30,6.887570756131897e-30,2.6244181747831075e-15,1.0,7.305621734415624e-30,2.702891365633407e-15,1.0,1.0,1.0
5,40,6.757579729349492e-30,2.5995345216691183e-15,1.0,7.078665171240126e-30,2.6605760976224914e-15,1.0,1.0,1.0
6,50,6.449059927103047e-30,2.539499936425092e-15,1.0,6.885868182301692e-30,2.6240937830614387e-15,1.0,1.0,1.0
7,60,6.406109532301675e-30,2.5310293424418603e-15,1.0,6.691306621440732e-30,2.5867560034608466e-15,1.0,1.0,1.0
8,70,6.999973266215786e-30,2.6457462588494357e-15,1.0,7.435467064597735e-30,2.7268052854206028e-15,1.0,1.0,1.0
9,80,6.924435212309007e-30,2.631432159929077e-15,1.0,6.782012159679718e-30,2.6042296672297774e-15,1.0,1.0,1.0
10,90,6.893214809389721e-30,2.625493250684473e-15,1.0,7.075027112445596e-30,2.6598923121896486e-15,1.0,1.0,1.0
11,100,6.98651579221078e-30,2.643201806939981e-15,1.0,7.102059201533355e-30,2.6649688931643e-15,1.0,1.0,1.0
12,150,7.682580154181767e-30,2.771746769490634e-15,1.0,7.894604459568014e-30,2.809733877001168e-15,1.0,1.0,1.0
13,200,8.507340085417365e-30,2.91673449004488e-15,1.0,8.540922280301577e-30,2.922485633891393e-15,1.0,1.0,1.0
